company_id,company_name,product,company_cluster,company_subcluster,company_link
1,4strat,Foresight Strategy Cockpit,Strategic Product Planning,Technology Analysis,https://www.4strat.com/strategy-foresight-service/foresight-strategy-cockpit/
2,AGENTS.inc,AI Agents,Strategic Product Planning,Technology Analysis,https://www.agents.inc/
3,AI patents,AI Patents,Strategic Product Planning,Market Analysis,https://www.aipatents.com/
4,Altair Engineering Inc.,Design AI,Product Development,Product Design,https://www.altair.com/designai/
5,Altair Engineering Inc.,Design Explorer,Product Development,Requirements Management,"https://www.altair.com/ai-powered-design/

https://community.altair.com/community?id=community_blog&sys_id=0d4b79f7dba0f490e8863978f496197e&_ga=2.13450551.1210736524.1659983647-9987530.1659983646"
6,Altair Engineering Inc.,shapeAI,Product Development,Requirements Management,"https://www.altair.com/ai-powered-design/

https://community.altair.com/community?id=community_blog&sys_id=5fae89f5dbc8f850e8863978f496192f&_ga=2.17757497.1210736524.1659983647-9987530.1659983646"
7,Altair Engineering Inc.,Hyper Study,Product Development,Product Design,https://www.altair.com/hyperstudy-applications/
8,Altair Engineering Inc.,signalAI,Product Development,Requirements Management,"https://www.altair.de/ai-powered-design/

https://community.altair.com/community?id=community_blog&sys_id=0507109adbc1fc50e8863978f4961952&_ga=2.72891411.1210736524.1659983647-9987530.1659983646"
9,Altair Engineering Inc.,romAI,Product Development,Product Design,https://www.altair.com/ai-powered-design/
10,Altair Engineering Inc.,Altair Digital Twin Integration Platform,Product Development,Requirements Management,"https://www.altair.com/digital-twin

https://www.altair.com/ai-powered-design/"
11,Ambercite,Ambercite AI,Strategic Product Planning,Idea Generation,https://www.ambercite.com/
12,Anodot Ltd.,Anodot Autonomous Forecast,Strategic Product Planning,Market Analysis,https://www.anodot.com/autonomous-forecast/
13,Applitools,Eyes,Product Development,Testing,https://applitools.com/products-eyes/
14,Applitools,Ultrafast Test Cloud,Product Development,Testing,https://applitools.com/product-ultrafast-test-cloud/
15,Attention Insight,AI Attention ,Strategic Product Planning,Market Analysis,https://attentioninsight.com/
16,Autodesk Inc.,Generative Design,Product Development,Product Design,https://www.autodesk.com/solutions/generative-design
17,Automotive ai,AAI ReplicaR,Product Development,Testing,https://www.automotive-ai.com
18,CELUS GmbH,Engineering Plattform,Product Development,Requirements Management,https://www.celus.io/de/engineering-plattform
19,CELUS GmbH,Supernova,Product Development,Requirements Management,https://www.celus.io/de/supernova?hsLang=de
20,Cigniti,Cigniti Impact Analyzer,Strategic Product Planning,Technology Analysis,https://www.cigniti.com/services/ai-based-application-testing/
21,citrine,Citrine,Product Development,Product Design,https://citrine.io/product/what-is-the-citrine-platform/artificial-intelligence/
22,conductiv.ai,conductiv.ai,Product Development,Product Design,https://conductiv.ai
23,Coral Innovation,DATA-BASED TECHNOLOGY SCOUTING,Strategic Product Planning,Technology Analysis,https://www.coral-innovation.de/scouting
24,Dassault systems,NetVibes,Production System Development,Production System Implementation,"https://www.3ds.com/de/produkte-und-services/netvibes/

"
25,Deloitte,Gnosis.strategy,Strategic Product Planning,Market Analysis,https://www2.deloitte.com/de/de/pages/innovation/contents/deloitte-ai-marketplace.html
26,delphai,delphai,Strategic Product Planning,Technology Analysis,https://www.delphai.com/product/
27,FIBRES Online Ltd,Fibres,Strategic Product Planning,Market Analysis,https://www.fibresonline.com/features
28,FINDEST,IGOR^AI,Strategic Product Planning,Technology Analysis,https://findest.eu
29,"Functionize, Inc.",Functionize Architect,Product Development,Testing,https://www.functionize.com/architect
30,"Functionize, Inc.",Natural Language Processing,Product Development,Testing,https://www.functionize.com/natural-language-processing
31,"Functionize, Inc.",Self-Healing,Product Development,Testing,https://www.functionize.com/self-healing
32,Futureplatforms,Futures Platforms,Strategic Product Planning,Idea Generation,https://www.futureplatforms.com/services/
33,Google,Intelligent products (Preview),Strategic Product Planning,Technology Analysis,https://cloud.google.com/solutions/intelligent-products
34,Google,Patentanalyse,Strategic Product Planning,Idea Generation,https://cloud.google.com/blog/products/ai-machine-learning/how-ai-improves-patent-analysis 
35,Hyperganic Group,A.I. based engineering / A.I. software platform,Strategic Product Planning,Idea Generation,https://www.hyperganic.com/
36,IBM Corporation ,IBM Maximo Production Quality Insights ,Production System Development,Production System Implementation,https://www.ibm.com/blogs/internet-of-things/iot-cheat-sheet-visual-inspection/
37,IBM Corporation ,IBM Engineering Requirements Quality Assistant,Product Development,Testing,https://www.ibm.com/products/requirements-quality-assistant
38,iMerit,Sentiment Analysis,Strategic Product Planning,Market Analysis,https://imerit.net/sentiment-analysis/
39,innosabi,innosabi Insight,Strategic Product Planning,Idea Generation,https://innosabi.com/en/insight/
40,INNOSPOT GmbH,Startup Scouting Platform,Strategic Product Planning,Technology Analysis,https://innospot.de/startup-scouting-platform/
41,INNOSPOT GmbH,Startup Scouting Services,Strategic Product Planning,Technology Analysis,https://innospot.de/startup-scouting/
42,iplytics,IpLytics,Strategic Product Planning,Market Analysis,https://www.iplytics.com/platform/features/
43,Iprova,Iprova Invention Platform,Strategic Product Planning,Idea Generation,https://www.iprova.com/what-we-do/
44,ITONICS,ITONICS Insights,Strategic Product Planning,Technology Analysis,https://www.itonics-innovation.com/insights
45,katalon,AI Visual Testing,Product Development,Testing,https://katalon.com/visual-testing
46,Kebotix,ReactionSage,Product Development,Product Design,https://www.kebotix.com/solutions#reactionsage
47,Kenshoo Ltf. Io,Skai,Strategic Product Planning,Market Analysis,https://skai.io/market-intelligence-demo/ 
48,Kobiton,Scriptless-test-automation,Product Development,Testing,https://kobiton.com/scriptless-test-automation
49,Linknovate,InnoScout,Strategic Product Planning,Technology Analysis,https://www.linknovate.com/inno-scout/
50,Linknovate,InnoBits,Strategic Product Planning,Technology Analysis,https://www.linknovate.com/inno-bits/
51,"Mabl
",Functional Test Automation,Strategic Product Planning,Market Analysis,https://www.mabl.com/product
52,Monolith,Monolith Platform,Strategic Product Planning,Market Analysis,https://www.monolithai.com
53,Naventik,Pathfinder,Strategic Product Planning,Market Analysis,https://www.naventik.de/page24.html
54,Neural Concept,Shape,Product Development,Product Design,https://www.neuralconcept.com/shape
55,NISSAN Motor Corporation,TCS Embedded Code Analyzer (TCS ECA),Strategic Product Planning,Market Analysis,https://www.nissan-global.com/EN/LICENSE/TECHNOLOGY/TECHNOLOGY08/ 
56,novable,Novable,Strategic Product Planning,Technology Analysis,https://novable.com
57,OSSENO Software GmbH,ReqSuite® RM,Product Development,Requirements Management,https://www.osseno.com/de/anforderungsmanagement-software/
58,OSSENO Software GmbH,ReqSuite® QC,Product Development,Requirements Management,https://www.osseno.com/de/qualitaetspruefung/
59,Patsnap,R&D Intelligence,Strategic Product Planning,Market Analysis,https://www.patsnap.com/solutions/rd-intelligence/
60,Peregrine Technologies,Vision SDK,Strategic Product Planning,Product Management,https://peregrine.ai/for-partners/
61,Primer,Command,Strategic Product Planning,Market Analysis,nan
62,PRODASO,PRODASO,Production System Development,Production System Planning,https://prodaso.com/en/product/
63,Quantgeist,Building data-driven innovation,Strategic Product Planning,Idea Generation,https://quantgeist.com
64,Remesh Inc.,Remesh,Strategic Product Planning,Market Analysis,https://remesh.ai/product-innovation/
65,SAS Institute Inc.,SAS Viya,Strategic Product Planning,Idea Generation,"https://www.sas.com/en_us/trials/software/viya/viya-trial-form.html

Links to features
https://www.sas.com/en_us/software/visual-data-mining-machine-learning.html
https://www.sas.com/en_us/software/optimization.html
https://www.sas.com/en_us/software/visual-forecasting.html
https://www.sas.com/en_us/software/visual-text-analytics.html
https://www.sas.com/en_us/software/event-stream-processing.html
https://www.sas.com/en_us/software/production-quality-analytics.html
https://www.sas.com/en_us/software/visual-text-analytics.html"
66,Semantha,Semantha requirements,Product Development,Requirements Management,https://www.semantha.de/semantha-requirements/
67,Simreka (Devtaar GmbH),Simreka data-driven integrated simulation platform,Strategic Product Planning,Market Analysis,https://simreka.com/
68,SmartBear Software,TestComplete,Product Development,Testing,https://smartbear.com/product/testcomplete/overview/
69,Sofy.ai,Sofy,Product Development,Testing,https://start.sofy.ai/
70,Spread GmbH,Spread,Production System Development,Production System Implementation,https://spread.ai/solution
71,StartUs Insights,Innovation Scouting,Strategic Product Planning,Technology Analysis,https://www.startus-insights.com/innovation-scouting/
72,StartUs Insights,Discovery Platform,Strategic Product Planning,Technology Analysis,https://www.startus-insights.com/startus-insights-platform/
73,StartUs Insights,Trend intelligence,Strategic Product Planning,Technology Analysis,https://www.startus-insights.com/trend-intelligence
74,StartUs Insights, API Services ,Strategic Product Planning,Market Analysis,https://www.startus-insights.com/api-service/
75,Streem.ai,Streem.ai,Production System Development,Production System Implementation,https://streem.ai
76,Tawny, TAWNY Emotion Analytics ,Strategic Product Planning,Market Analysis,https://www.tawny.ai/platform
77,test,Test.ai,Strategic Product Planning,Idea Generation,https://test.ai
78,Testsigma Technologies Inc.,Testsigma Cloud,Product Development,Testing,"https://testsigma.com/products

https://testsigma.com/regression-testing/automated-regression-testing-tool"
79,TMG Consultants GmbH (AI4C),7Q1,Production System Development,Production System Planning,https://www.7q1.de/en/solution/
80,Tricentis,Tricentis Tosca,Product Development,Testing,https://www.tricentis.com/products/automate-continuous-testing-tosca/
81,Two pillars,iQuavis,Product Development,Requirements Management,https://www.two-pillars.de/iquavis/
82,ubermetrics,AI-powered Content Intelligence,Strategic Product Planning,Market Analysis,https://www.ubermetrics-technologies.com/de/
83,Ventecon,Signal Finder,Strategic Product Planning,Market Analysis,https://ventecon.com/
84,Wellspring,Innovation Management,Strategic Product Planning,Technology Analysis,https://www.wellspring.com/products/innovation-management
85,Wellspring,AI-Powered Scout,Strategic Product Planning,Technology Analysis,https://www.wellspring.com/products/scout
86,Growbotics,Innovation Fund,Strategic Product Planning,Technology Analysis,https://growbotics.se/about
87,paiqo,Customer Analytics,Strategic Product Planning,Market Analysis,https://paiqo.com/en/our-services/ai-solutions/
88,Planalogic,PLANALOGIC,Strategic Product Planning,Market Analysis,https://planalogic.com/
89,JITX,JITX,Product Development,Product Design,https://www.jitx.com/
90,KENDAXA Holding GmbH,BOM Validator,Strategic Product Planning,Market Analysis,https://kendaxa.com/intelligent-industry/#bom
91,KENDAXA Holding GmbH,Similarity search,Strategic Product Planning,Market Analysis,https://kendaxa.com/intelligent-industry/#similarity
92,AlphaSense Inc.,AlphaSense (for Corporates),Strategic Product Planning,Market Analysis,https://www.alpha-sense.com/corporates/
93,Mapegy GmbH,Global Innovation Graph,Strategic Product Planning,Technology Analysis,https://scout.mapegy.com/innovation-graph/
94,"Ezassi, Inc.",Technology Scouting Software,Strategic Product Planning,Technology Analysis,https://ezassi.com/open-innovation-management-software/technology-scouting-solution-options/
95,iTOP.PARTNERS GmbH,Netculator,Strategic Product Planning,Technology Analysis,https://www.netculator.com/our-technology/
96,"Planbox, Inc.",Planbox Platform,Strategic Product Planning,Idea Generation,https://www.planbox.com/solutions/
97,Quant IP GmbH,Quant IP Patent Rating,Strategic Product Planning,Technology Analysis,https://quant-ip.com/patent-rating-en/
98,Quant IP GmbH,Competitive Technology Reports,Strategic Product Planning,Technology Analysis,https://quant-ip.com/competitive-technology-benchmarking-report-en/
99,Mergeflow,Mergeflow,Strategic Product Planning,Technology Analysis,https://mergeflow.com/product
100,Fraunhofer INT,KATI,Strategic Product Planning,Technology Analysis,https://www.int.fraunhofer.de/de/geschaeftsfelder/kati-lab/kati.html
