ID,Nr.,Verantwortlich,Company,Product/Service-Title,type of offer,type of offer (detailed) 1,type of offer (detailed) 2,description,main functionalities,key benefits (features are tbd),application domain (engineering activities),Detailed appicatiion domain (engineering),Product engineering (cycles),AI potential (by Matching algorithm),KI-Tags,target group (customer type) --> Nutzer der Leister,"(technical & organisational) details (e.g. system requirements, …)",Understandability of description/material,Relevance,Capability of company to offer service/product,quality of app/service,trust score (verification concept) 0-4,contact info,pricing/license model,Link,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,412,Melina,36zero,36ZERO Vision,app,SaaS,36ZERO Vision is an AI-powered visual inspection system developed to identify and solve a wide range of manufacturing quality issues.,"•36zero vision is an AI-based software solution for quality automation fault •36ZERO Vision is available through three different modules that can be applied individually or combined. To tailor the functionally for individual use cases extra components can be added:
smart image acquisition, fault inspection, norm verification","increasing transparency, productivity",production,Production / manufacturing,#NAME?,,,,,,1,2 - production,1,,,,,https://36zerovision.com/solution/,Production oder doch Production system development?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,Patrick,3dsignals,Machine Monitoring,app,web service (API),,"3d Signals accelerates digital transformation of manufacturers to the Industry 4.0 era through immediate visibility into production floors.

Or

Monitoring of various production machines are done through installing of the sensors and then connecting them to the cloud. In cloud AI algorithms and models are used to get detail insights. These insights are then used to monitor whether a machine is performing at certain production level, etc.",#NAME?,#NAME?,Production / manufacturing,,,,,,,,2 - production,,,,,charged - individual,https://3dsignals.com/products/machine-monitoring/,Service oder App?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,2,,3dSignals,Machine Monitoring,,,,"Monitoring of various production machines are done through installing of the sensors and then connecting them to the cloud. In cloud AI algorithms and models are used to get detail insights. These insights are then used to monitor whether a machine is performing at certain production level, etc.",,,,,production,,,,,,5 - not relevant,,,,,,https://3dsignals.com/products/machine-monitoring/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,3,,3dSignals,Work Order Tracking,,,,"Installing of the sensors to the machines and getting their insights from the cloud with the help of AI alogorithm allow the organizations to track which machines are working or which orders, time details of completing a single order, whether the orders are completing as planned?, etc. ",,,,,production,,,,,,5 - not relevant,,,,,,https://3dsignals.com/products/work-order/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,361,Melina,3dvisionlabs GmbH,HemiStereo® NX,app,web service (API),3dvisionlabs' technology is going to improve our everyday lives by empowering a new generation of spatially-aware assistants.,"AI-enabled Stereo Vision Camera 
•Hemispherical 3D vision allows a drastically reduced number of sensors                                  •allows a drastically reduced number of sensors                                                                        •allows new ways of both surround and in-cabin perception                                                       •allows precise people tracking and analysis in large observation areas                                     •Make your product smart by including real-time edge processing / Build your coustom solution",•improve your quality                                                                  •remove friction from processes                                            •reduce cost                                                                                •innovate your products,"Industry Automation, Mobile Robots, autonomos vehicles, intelligent space",Production / manufacturing,,,,,,,1,2 - production,1,,"info@3dvisionlabs.com
3dvisionlabs GmbH,
?Technologie-Campus 1,
09126 Chemnitz, GERMANY",charged - individual,,https://3dvisionlabs.com/hs-nx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4,Patrick,4strat,Foresight Strategy Cockpit,service,web service (API),,4strat bietet experten- und datengetriebene Tools und Dienstleistungen für Strategic Foresight. Wir befähigen Entscheidungsträger*innen zum Aufbau agiler ...,#NAME?,#NAME?,,,Strategic product planning,,,,,,5 - not relevant,,,,,The company must be contacted for information,https://www.4strat.com/strategy-foresight-service/foresight-strategy-cockpit/,"Modular and web-based system / App and browser

Ist das überhaupt KI?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,5,,4strat,Foresight Strategy Cockpit,app,,,"Using AI, foresight strategy cockpit allows to generate a foresight process based on the risks of failure and emerging trends within the companies. ",,,Foresight and technology/trend management,Foresight,Strategic Product Planning,,,,,,1 - product engineering,,,,,,https://www.4strat.com/strategy-foresight-service/foresight-strategy-cockpit/,"AI has to be described more detailed, i.e., the kind of AI that is used is not clear at the moment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,388,Melina,7Learnings,Predictive Pricing Software,app,SaaS,7Learnings offers a machine learning based SaaS solution to set optimal prices for online retailers. Our clients benefit from increased revenues and margins as well as a fast ROI.,"forecast the effect of pricing decisions on the key performance indicators of our clients. Utilizing these forecasts and the client’s business targets, their software runs optimizations to determine the pricing scenario that maximizes their results","leading technology, high data secuirty, Intuitive target steering, Forecasted pricing impact, Effortless integration",e-commerce,service development,,,,,,,1,5 - not relevant,1,,,,,https://7learnings.com/solution/,"Predictive Pricing für z. B. Schuhe

Optimal Price for online retailers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,7,Patrick,accurity,Data-driven business process visualization,service,SaaS,,"Define, monitor, and maintain your data across your organization for increased trust in data, improved efficiencies, and reduced risk of non-compliance.",#NAME?,#NAME?,,,Strategic product planning,,,,,,5 - not relevant,,,,,The company must be contacted for information,https://accurity.ai,"Application: Process management
Wo ist hier KI?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,8,,Accurity AI,Data-driven business process visualization,,,,Visualization of the business dependencies processes to data assets and its relation to business glossary.,,,,,Strategic Product Planning,,,,,,5 - not relevant,,,,,,https://www.accurity.ai/solutions/data-driven-business-process-visualization/ ,Keine KI erkennbar trotz Kürzel in Website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
